x,y
-5.000000e+00,3.844624e-02
-4.999000e+00,3.846834e-02
-4.998000e+00,3.848918e-02
-4.997000e+00,3.850894e-02
-4.996000e+00,3.852769e-02
-4.995000e+00,3.854559e-02
-4.994000e+00,3.856269e-02
-4.993000e+00,3.857914e-02
-4.992000e+00,3.859498e-02
-4.991000e+00,3.861026e-02
-4.990000e+00,3.862515e-02
-4.989000e+00,3.863964e-02
-4.988000e+00,3.865381e-02
-4.987000e+00,3.866773e-02
-4.986000e+00,3.868143e-02
-4.985000e+00,3.869493e-02
-4.984000e+00,3.870834e-02
-4.983000e+00,3.872169e-02
-4.982000e+00,3.873491e-02
-4.981000e+00,3.874815e-02
-4.980000e+00,3.876138e-02
-4.979000e+00,3.877462e-02
-4.978000e+00,3.878790e-02
-4.977000e+00,3.880125e-02
-4.976000e+00,3.881466e-02
-4.975000e+00,3.882818e-02
-4.974000e+00,3.884178e-02
-4.973000e+00,3.885549e-02
-4.972000e+00,3.886932e-02
-4.971000e+00,3.888325e-02
-4.970000e+00,3.889731e-02
-4.969000e+00,3.891151e-02
-4.968000e+00,3.892582e-02
-4.967000e+00,3.894028e-02
-4.966000e+00,3.895484e-02
-4.965000e+00,3.896954e-02
-4.964000e+00,3.898440e-02
-4.963000e+00,3.899933e-02
-4.962000e+00,3.901441e-02
-4.961000e+00,3.902961e-02
-4.960000e+00,3.904489e-02
-4.959000e+00,3.906026e-02
-4.958000e+00,3.907581e-02
-4.957000e+00,3.909135e-02
-4.956000e+00,3.910705e-02
-4.955000e+00,3.912281e-02
-4.954000e+00,3.913865e-02
-4.953000e+00,3.915456e-02
-4.952000e+00,3.917057e-02
-4.951000e+00,3.918660e-02
-4.950000e+00,3.920269e-02
-4.949000e+00,3.921883e-02
-4.948000e+00,3.923498e-02
-4.947000e+00,3.925122e-02
-4.946000e+00,3.926748e-02
-4.945000e+00,3.928372e-02
-4.944000e+00,3.930004e-02
-4.943000e+00,3.931636e-02
-4.942000e+00,3.933269e-02
-4.941000e+00,3.934900e-02
-4.940000e+00,3.936534e-02
-4.939000e+00,3.938167e-02
-4.938000e+00,3.939800e-02
-4.937000e+00,3.941431e-02
-4.936000e+00,3.943060e-02
-4.935000e+00,3.944687e-02
-4.934000e+00,3.946315e-02
-4.933000e+00,3.947937e-02
