x,y
-5.000000e+00,3.844626e-02
-4.900000e+00,3.999495e-02
-4.800000e+00,4.160257e-02
-4.700000e+00,4.330135e-02
-4.600000e+00,4.512831e-02
-4.500000e+00,4.706776e-02
-4.400000e+00,4.909883e-02
-4.300000e+00,5.131839e-02
-4.200000e+00,5.365813e-02
-4.100000e+00,5.613096e-02
-4.000000e+00,5.882039e-02
-3.900000e+00,6.170939e-02
-3.800000e+00,6.476777e-02
-3.700000e+00,6.805358e-02
-3.600000e+00,7.163013e-02
-3.500000e+00,7.549191e-02
-3.400000e+00,7.962693e-02
-3.300000e+00,8.408650e-02
-3.200000e+00,8.895079e-02
-3.100000e+00,9.426085e-02
-3.000000e+00,1.000235e-01
-2.900000e+00,1.062733e-01
-2.800000e+00,1.130997e-01
-2.700000e+00,1.206083e-01
-2.600000e+00,1.288760e-01
-2.500000e+00,1.379585e-01
-2.400000e+00,1.479401e-01
-2.300000e+00,1.589627e-01
-2.200000e+00,1.712046e-01
-2.100000e+00,1.848394e-01
-2.000000e+00,2.000268e-01
-1.900000e+00,2.169478e-01
-1.800000e+00,2.358467e-01
-1.700000e+00,2.570374e-01
-1.600000e+00,2.808706e-01
-1.500000e+00,3.076984e-01
-1.400000e+00,3.378734e-01
-1.300000e+00,3.717761e-01
-1.200000e+00,4.098283e-01
-1.100000e+00,4.524512e-01
-1.000000e+00,4.999704e-01
-9.000000e-01,5.524938e-01
-8.000000e-01,6.097926e-01
-7.000000e-01,6.711697e-01
-6.000000e-01,7.352889e-01
-5.000000e-01,7.999707e-01
-4.000000e-01,8.620468e-01
-3.000000e-01,9.174329e-01
-2.000000e-01,9.615521e-01
-1.000000e-01,9.901057e-01
0.000000e+00,1.000000e+00
1.000000e-01,9.901057e-01
2.000000e-01,9.615521e-01
3.000000e-01,9.174329e-01
4.000000e-01,8.620468e-01
5.000000e-01,7.999707e-01
6.000000e-01,7.352889e-01
7.000000e-01,6.711697e-01
8.000000e-01,6.097926e-01
9.000000e-01,5.524938e-01
1.000000e+00,4.999704e-01
1.100000e+00,4.524512e-01
1.200000e+00,4.098283e-01
1.300000e+00,3.717761e-01
1.400000e+00,3.378734e-01
1.500000e+00,3.076984e-01
1.600000e+00,2.808706e-01
1.700000e+00,2.570374e-01
1.800000e+00,2.358467e-01
1.900000e+00,2.169478e-01
2.000000e+00,2.000268e-01
2.100000e+00,1.848394e-01
2.200000e+00,1.712046e-01
2.300000e+00,1.589627e-01
2.400000e+00,1.479401e-01
2.500000e+00,1.379585e-01
2.600000e+00,1.288760e-01
2.700000e+00,1.206083e-01
2.800000e+00,1.130997e-01
2.900000e+00,1.062733e-01
3.000000e+00,1.000235e-01
3.100000e+00,9.426085e-02
3.200000e+00,8.895079e-02
3.300000e+00,8.408650e-02
3.400000e+00,7.962693e-02
3.500000e+00,7.549191e-02
3.600000e+00,7.163013e-02
3.700000e+00,6.805358e-02
3.800000e+00,6.476777e-02
3.900000e+00,6.170939e-02
4.000000e+00,5.882039e-02
4.100000e+00,5.613096e-02
4.200000e+00,5.365813e-02
4.300000e+00,5.131839e-02
4.400000e+00,4.909883e-02
4.500000e+00,4.706776e-02
4.600000e+00,4.512831e-02
4.700000e+00,4.330135e-02
4.800000e+00,4.160257e-02
4.900000e+00,3.999495e-02
x,y
-5.000000e+00,3.844626e-02
-4.900000e+00,3.999495e-02
-4.800000e+00,4.160257e-02
-4.700000e+00,4.330135e-02
-4.600000e+00,4.512831e-02
-4.500000e+00,4.706776e-02
-4.400000e+00,4.909883e-02
-4.300000e+00,5.131839e-02
-4.200000e+00,5.365813e-02
-4.100000e+00,5.613096e-02
-4.000000e+00,5.882039e-02
-3.900000e+00,6.170939e-02
-3.800000e+00,6.476777e-02
-3.700000e+00,6.805358e-02
-3.600000e+00,7.163013e-02
-3.500000e+00,7.549191e-02
-3.400000e+00,7.962693e-02
-3.300000e+00,8.408650e-02
-3.200000e+00,8.895079e-02
-3.100000e+00,9.426085e-02
-3.000000e+00,1.000235e-01
-2.900000e+00,1.062733e-01
-2.800000e+00,1.130997e-01
-2.700000e+00,1.206083e-01
-2.600000e+00,1.288760e-01
-2.500000e+00,1.379585e-01
-2.400000e+00,1.479401e-01
-2.300000e+00,1.589627e-01
-2.200000e+00,1.712046e-01
-2.100000e+00,1.848394e-01
-2.000000e+00,2.000268e-01
-1.900000e+00,2.169478e-01
-1.800000e+00,2.358467e-01
-1.700000e+00,2.570374e-01
-1.600000e+00,2.808706e-01
-1.500000e+00,3.076984e-01
-1.400000e+00,3.378734e-01
-1.300000e+00,3.717761e-01
-1.200000e+00,4.098283e-01
-1.100000e+00,4.524512e-01
-1.000000e+00,4.999704e-01
-9.000000e-01,5.524938e-01
-8.000000e-01,6.097926e-01
-7.000000e-01,6.711697e-01
-6.000000e-01,7.352889e-01
-5.000000e-01,7.999707e-01
-4.000000e-01,8.620468e-01
-3.000000e-01,9.174329e-01
-2.000000e-01,9.615521e-01
-1.000000e-01,9.901057e-01
0.000000e+00,1.000000e+00
1.000000e-01,9.901057e-01
2.000000e-01,9.615521e-01
3.000000e-01,9.174329e-01
4.000000e-01,8.620468e-01
5.000000e-01,7.999707e-01
6.000000e-01,7.352889e-01
7.000000e-01,6.711697e-01
8.000000e-01,6.097926e-01
9.000000e-01,5.524938e-01
1.000000e+00,4.999704e-01
1.100000e+00,4.524512e-01
1.200000e+00,4.098283e-01
1.300000e+00,3.717761e-01
1.400000e+00,3.378734e-01
1.500000e+00,3.076984e-01
1.600000e+00,2.808706e-01
1.700000e+00,2.570374e-01
1.800000e+00,2.358467e-01
1.900000e+00,2.169478e-01
2.000000e+00,2.000268e-01
2.100000e+00,1.848394e-01
2.200000e+00,1.712046e-01
2.300000e+00,1.589627e-01
2.400000e+00,1.479401e-01
2.500000e+00,1.379585e-01
2.600000e+00,1.288760e-01
2.700000e+00,1.206083e-01
2.800000e+00,1.130997e-01
2.900000e+00,1.062733e-01
3.000000e+00,1.000235e-01
3.100000e+00,9.426085e-02
3.200000e+00,8.895079e-02
3.300000e+00,8.408650e-02
3.400000e+00,7.962693e-02
3.500000e+00,7.549191e-02
3.600000e+00,7.163013e-02
3.700000e+00,6.805358e-02
3.800000e+00,6.476777e-02
3.900000e+00,6.170939e-02
4.000000e+00,5.882039e-02
4.100000e+00,5.613096e-02
4.200000e+00,5.365813e-02
4.300000e+00,5.131839e-02
4.400000e+00,4.909883e-02
4.500000e+00,4.706776e-02
4.600000e+00,4.512831e-02
4.700000e+00,4.330135e-02
4.800000e+00,4.160257e-02
4.900000e+00,3.999495e-02
x,y
-5.000000e+00,3.844626e-02
-4.900000e+00,3.999495e-02
-4.800000e+00,4.160257e-02
-4.700000e+00,4.330135e-02
-4.600000e+00,4.512831e-02
-4.500000e+00,4.706776e-02
-4.400000e+00,4.909883e-02
-4.300000e+00,5.131839e-02
-4.200000e+00,5.365813e-02
-4.100000e+00,5.613096e-02
-4.000000e+00,5.882039e-02
-3.900000e+00,6.170939e-02
-3.800000e+00,6.476777e-02
-3.700000e+00,6.805358e-02
-3.600000e+00,7.163013e-02
-3.500000e+00,7.549191e-02
-3.400000e+00,7.962693e-02
-3.300000e+00,8.408650e-02
-3.200000e+00,8.895079e-02
-3.100000e+00,9.426085e-02
-3.000000e+00,1.000235e-01
-2.900000e+00,1.062733e-01
-2.800000e+00,1.130997e-01
-2.700000e+00,1.206083e-01
-2.600000e+00,1.288760e-01
-2.500000e+00,1.379585e-01
-2.400000e+00,1.479401e-01
-2.300000e+00,1.589627e-01
-2.200000e+00,1.712046e-01
-2.100000e+00,1.848394e-01
-2.000000e+00,2.000268e-01
-1.900000e+00,2.169478e-01
-1.800000e+00,2.358467e-01
-1.700000e+00,2.570374e-01
-1.600000e+00,2.808706e-01
-1.500000e+00,3.076984e-01
-1.400000e+00,3.378734e-01
-1.300000e+00,3.717761e-01
-1.200000e+00,4.098283e-01
-1.100000e+00,4.524512e-01
-1.000000e+00,4.999704e-01
-9.000000e-01,5.524938e-01
-8.000000e-01,6.097926e-01
-7.000000e-01,6.711697e-01
-6.000000e-01,7.352889e-01
-5.000000e-01,7.999707e-01
-4.000000e-01,8.620468e-01
-3.000000e-01,9.174329e-01
-2.000000e-01,9.615521e-01
-1.000000e-01,9.901057e-01
0.000000e+00,1.000000e+00
1.000000e-01,9.901057e-01
2.000000e-01,9.615521e-01
3.000000e-01,9.174329e-01
4.000000e-01,8.620468e-01
5.000000e-01,7.999707e-01
6.000000e-01,7.352889e-01
7.000000e-01,6.711697e-01
